token,label
bohut,SYM
achay,J
ayay,V
Mixed,J
dabay,N
Wala,PRT
mix,N
n,CC
maida,N
Apna,PRP
hee,PRT
koi,PRP
taste,J
bana,V
liya,V
,
listening,V
to,PRT
Ishq,N
Wala,PRT
Love,N
From,PSP
Student,N
of,PSP
the,DT
Year,N
The,DT
DJ,N
Suketu,N
Lounge,N
Mix,N
,
I,PRP
liked,V
a,DT
video,N
Don,N
khaike,V
paan,N
banaras,J
wala,PRT
old,J
and,CC
new,J
mix,N
,
IshQ,N
waLa,PRT
listening,V
to,PRT
Ishq,N
Wala,PRT
Love,N
From,PSP
Student,N
of,PSP
the,DT
Year,N
The,DT
DJ,N
Suketu,N
Lounge,N
Mix,N
,
it,PRP
is,V
indeed,R
when,R
its,DT
possible,J
play,V
a,DT
lovely,J
bacha,N
wala,PRT
track,N
for,PSP
me,PRP
Am,N
having,V
serious,J
mix,N
emotions,N
these,PRP
days,N
,
Bhai,N
Koi,PRP
pehchan,N
wala,PRT
Jo,PRP
songs,N
compile,V
kr,V
le,V
kl,N
sis,N
ka,PSP
dance,N
competition,N
he,V
teeno,SYM
mix,N
krne,V
hein,V
without,PSP
pause,V
,
Ye,PRP
Veet,N
ke,PSP
ad,N
main,PSP
wo,PRP
ladki,N
kitni,R
gandhi,N
aur,CC
over,PSP
acting,V
karti,V
hai,V
Ye,PRP
girl,N
models,N
ko,PSP
itni,R
Galatfahmi,J
kyon,PRP
hoti,V
hai,V
ki,PSP
wo,PRP
badi,J
actress,N
hain,V
,
Life,N
Ok,N
Dream,J
Girl,N
Ek,SYM
Ladki,N
Deewani,J
Si,PSP
Upcoming,J
Tv,N
show,N
Story,N
Star,N
Cast,N
Timing,N
Promo,N
Wiki,N
Ne,N
,
Ladke,N
Ne,PSP
ek,SYM
Ladki,N
Ko,PSP
Call,V
Ki,PSP
Boy,N
I,PRP
LOVE,V
U,PRP
Jaan,N
Girl,N
ek,SYM
100ka,SYM
Recharge,V
Krwa,V
Do,V
Plz,R
Didi,N
Rong,J
Number,N
,
Boy,N
Tum,PRP
Ladki,N
Ho,V
Ke,PSP
Sharab,N
Peeti,V
Ho,V
Awesome,J
reply,V
by,PSP
Girl,N
To,PRT
Kya,PRP
Peg,N
Ke,PSP
Liye,PSP
Gender,N
Change,V
Karwaun,V
,
Ladke,N
Ne,PSP
ek,SYM
Ladki,N
Ko,PSP
Call,V
Ki,V
Boy,N
I,PRP
LOVE,V
U,PRP
Jaan,N
Girl,N
Sacchi,N
Boy,N
Mucchi,N
Girl,N
ek,SYM
100ka,SYM
Recharge,V
Krwa,V
,
Brilliant,J
Answer,N
By,PSP
Boy,N
Friend,N
on,PSP
Break,N
Up,PSP
Girl,N
Tumhe,PRP
Mere,PRP
Jaisi,R
Ladki,N
Nahi,PRT
Milegi,V
Boy,N
Chill,V
,
Boy,N
Tum,PRP
Ladki,N
Ho,PRT
Ke,PSP
Sharab,N
Peeti,V
Ho,V
Awesome,J
reply,V
by,PSP
Girl,N
To,PRT
Kya,PRP
Peg,N
Ke,PSP
Liye,PSP
Gender,N
Change,V
Karwaun,V
,
Boy,N
badlapur,N
dekhne,V
chale,V
Girl,N
M,PRP
watching,V
india,N
vs,PSP
sa,N
Boy,N
calls,V
his,PRP
mom,N
Maa,N
maine,PRP
ladki,N
dhoond,V
lee,PSP
,
Brilliant,J
Answer,N
By,PSP
Boy,N
Friend,N
on,PSP
Break,N
Up,PSP
Girl,N
Tumhe,PRP
Mere,PRP
Jaisi,R
Ladki,N
Nahi,PRT
Milegi,V
Boy,N
Chill,V
,
Ladke,N
Ne,PSP
ek,SYM
Ladki,N
Ko,PSP
Call,V
Ki,V
Boy,N
I,PRP
LOVE,V
U,PRP
Jaan,N
Girl,N
Sacchi,N
Boy,N
Mucchi,N
Girl,N
ek,SYM
100ka,SYM
Recharge,V
Krwa,V
Do,V
Plz,R
,
lol,PRT
ladki,N
mil,V
gyi,V
Martina,N
here,R
you,PRP
go,V
girl,N
hahha,PRT
shit,PRT
,
Boy,N
I,PRP
Love,V
You,PRP
Tum,PRP
Is,PRP
Duniya,N
Ki,V
Sabse,PRT
Khubsurat,J
Ladki,N
Ho,PSP
Girl,N
Par,PSP
Tumhare,PRP
Peeche,R
Toh,CC
Mujhse,PRP
Bhi,PRP
Zyaada,SYM
,
jab,PRP
koi,PRP
ladki,N
na,PRT
kehti,V
hai,V
toh,CC
uska,PRP
matlab,N
na,PRT
hi,PRT
hota,V
hai,V
when,R
a,DT
girl,N
says,V
no,PRT
it,PRP
only,R
means,V
no,PRT
,
Ek,SYM
Buri,J
Ladki,N
A,DT
Bad,J
Girl,N
via,PSP
BAHAHA,PRT
I,PRP
guess,V
a,DT
,
Brlnt,J
Ans,N
By,PSP
bf,N
on,PSP
Brk,N
Up,PSP
Girl,N
Tmhe,PRP
Mere,PRP
Jaisi,R
Ladki,N
Nahi,PRT
Milegi,V
Boy,N
Chil,V
swthrt,N
Mjhe,PRP
Tu,PRP
Hi,PSP
Ni,PRT
Psnd,N
To,CC
Teri,PRP
Jaise,PSP
Kyu,PRP
dhudunga,V
,
Yaar,N
ek,SYM
ladki,N
hai,V
Haan,N
Sachi,N
Ek,SYM
naya,J
crush,N
Aree,PRT
yaar,N
sachi,N
Okay,R
check,V
out,PRT
trailer,N
This,PRP
,
bhai,N
mere,PRP
office,N
me,PSP
receptionist,N
ki,PSP
position,N
khaali,V
hai,V
kuch,SYM
kaam,N
nahi,PRT
to,PRT
lagwa,V
dun,V
naukri,N
,
abe,N
office,N
me,PSP
kaam,V
kr,V
nahi,PRT
to,PRT
boss,N
gand,PRT
pe,PSP
laat,V
maar,V
k,PSP
bhaga,V
dega,V
,
haaha,PRT
hum,PRP
aisy,PRP
he,PRT
hai,V
biwi,N
office,N
mein,PSP
kaam,N
kion,PRP
kry,V
hahah,PRT
,
bus,N
office,N
he,PRT
hn,V
Sat,N
thora,SYM
thanda,J
hota,N
hay,V
kaam,N
k,PSP
point,N
of,PSP
view,N
say,PSP
you,PRP
know,V
,
office,N
abb,PRP
hum,PRP
sub,SYM
kaam,V
karty,V
koi,PRP
uni,N
clg,N
nae,PRT
jata,V
mere,PRP
ghar,N
,
Office,N
bhi,N
koi,PRP
kaam,N
karne,V
ki,PSP
jagah,N
hai,V
bhala,N
Nahi,PRT
Tabela,N
is,V
better,J
Chalo,V
waha,PRP
chale,V
,
Array,PRT
yar,N
hans,N
kar,V
dil,N
na,PRT
jalao,N
abhi,R
sara,SYM
din,N
office,N
main,PSP
bhi,PRP
kaam,N
karna,N
hay,V
,
Yar,PRT
Saturday,N
ko,PSP
kon,PRP
kaam,N
krta,V
hai,V
ullu,PRT
k,PSP
phatay,PRT
I,PRP
can,V
watch,V
Pakistan,N
loosing,V
at,PSP
home,N
not,PRT
in,PSP
fucking,J
office,N
,
tum,PRP
sahi,J
keh,V
rhy,V
thy,V
yeh,PRP
zayda,SYM
buri,J
timings,N
hain,V
wali,PSP
match,N
subah,N
purany,J
office,N
bhi,PSP
jna,V
hai,V
kaam,N
hai,V
,
no,DT
office,N
hours,N
Saara,SYM
kaam,N
ghar,N
per,PSP
,
Arey,PRT
jagah,N
kahan,R
hai,V
office,N
main,PSP
Sab,SYM
kaam,N
chalu,J
hai,V
,
dad,N
office,N
k,PSP
kaam,N
me,PSP
phasay,J
hue,V
hen,V
tak,PSP
aa,V
jae,V
ge,V
Yaha,PRP
wait,V
hi,PSP
nai,PRT
ho,V
raha,V
,
hmmm,PRT
Office,N
me,PSP
tweet,V
karre,V
lai,V
Phir,R
toh,PRT
kaam,N
der,N
se,PSP
khatam,J
hone,V
ko,PSP
hai,V
,
Muje,PRP
dekhne,V
ke,PSP
liye,PSP
time,N
nhi,R
milta,V
hai,V
re,V
Kya,PRP
karu,V
bata,V
biddu,PRT
tu,PRP
bata,V
Office,N
