token,label
Beta,G_N
balam,G_N
Hi,G_PRP
lag,G_V
ra,PSP
hai,G_V
Nah,G_J
re,G_N
,
So,PSP
of,PSP
us,PRP
general,J
loosers,N
were,V
waiting,V
near,PSP
for,PSP
the,DT
tumtum,N
and,CC
we,PRP
got,V
a,DT
clear,V
view,N
of,PSP
big,J
loose,J
mangoes,N
hanging,V
without,PSP
any,DT
support,V
One,SYM
of,PSP
us,PRP
still,R
got,V
very,R
excited,J
and,CC
this,PRP
was,V
visible,J
from,PSP
a,DT
distance,N
duh,PRT
do,V
we,PRP
need,N
to,PRT
explain,V
how,R
So,PSP
our,DT
excited,J
dude,N
somehow,R
concealed,V
his,PRP
pointy,J
arrow,N
and,CC
followed,V
the,DT
mangoes,X
till,PSP
infi,N
corridor,N
we,PRP
even,R
found,V
out,PRT
the,DT
genus,N
species,N
and,CC
name,N
of,PSP
the,DT
tree,N
they,PRP
were,V
hanging,V
from,PSP
but,CC
we,PRP
get,V
a,DT
taste,J
,
bhai,N
humko,N
Laakham,N
ka,N
accha,N
the,DT
end,N
de,PSP
do,V
him,PRP
khush,R
ho,V
jaayenge,N
rest,N
all,DT
will,V
subside,V
with,PSP
time,N
,
from,PSP
IITB,N
and,CC
in,PSP
the,DT
closet,N
because,PSP
nobody,N
in,PSP
India,N
can,V
really,R
understand,V
what,PRP
we,PRP
go,V
through,PSP
in,PSP
society,N
if,PSP
we,PRP
come,V
out,PRT
The,DT
plus,J
point,N
is,V
there,PRP
are,PSP
so,R
many,J
guys,N
to,PRT
fantasize,V
about,PSP
I,PRP
really,R
like,R
the,DT
unkempt,J
unshaven,J
look,N
but,CC
I,PRP
wish,V
some,DT
of,PSP
the,DT
guys,N
would,V
take,V
a,DT
bath,N
and,CC
keep,V
themselves,PRP
clean,J
I,PRP
casually,R
put,V
my,DT
arm,N
around,PSP
my,DT
friends,N
and,CC
they,PRP
even,R
suspect,V
a,DT
thing,N
,
a,DT
freshie,N
from,PSP
IITM,N
You,PRP
guys,N
have,V
