token,label
andhariki,TE
chance,EN
vasthadhi,TE
don't,EN
worry,EN
:P,UNI
,
Kaani,TE
please,EN
no,EN
boothuls,TE
.....,EN
Mohamatam,TE
lekunda,TE
ban,EN
chesetham,TE
.....,EN
So,EN
come,EN
on,EN
....,EN
Ikkada,TE
adagandi,TE
...,EN
any,EN
questions,EN
you,EN
want,EN
to,EN
ask,EN
.....,EN
"""",UNI
,
Cinema,EN
super,EN
...,EN
but,EN
sesh's,UNI
acting,EN
wasted,EN
",,,,",UNI
role,EN
inkonchem,TE
penchina,TE
teesesina,TE
bagundedi,TE
,
@ethnofest9,UNI
ah,EN
oka,TE
sec,EN
...,EN
chiru,TE
slow,EN
ga,UNI
chestaruu,TE
..,EN
Pk,EN
fast,EN
ga,UNI
cut,EN
chesaduu,TE
kekaaa,TE
asalu,TE
panja,TE
movie,EN
lo,EN
one,EN
of,EN
d,EN
best,EN
scen,EN
,
@prince_abhimani,UNI
@deepu4mb,UNI
crct,UNI
fig,EN
naaku,TE
kuda,TE
telidu,UNI
bro,EN
.,EN
senior,EN
fans,EN
ke,UNI
teliyali,TE
.,EN
sbdb,UNI
lo,EN
prasad,TE
babu,TE
figs,EN
avi,UNI
,
@Gsrinivasulu11,UNI
telidu,UNI
bro,EN
.,EN
kanapadite,TE
tag,EN
chesta,TE
ninu,UNI
,
Kiraaak,UNI
news,EN
we,EN
are,EN
waiting,EN
#SardaarGabbarSingh,UNI
#MegaStar,UNI
@PawanKalyan,UNI
abaah,UNI
eppudu,TE
vastado,TE
April,EN
pic.twitter.com/v3OMDlawxB,UNI
,
"""",UNI
@sachintodravid,UNI
Haha,UNI
Extra,EN
Vesukone,UNI
Uddesam,TE
Unte,TE
Ee,UNI
Movie,EN
Varaku,TE
Aagala,TE
"""""",UNI
Maku,TE
Fake,EN
Collections,EN
ante,EN
ento,TE
Telidu,UNI
"""""""",UNI
,
@MSKumar143,UNI
largely,EN
rejected,EN
by,EN
majority,EN
audience,EN
..,EN
naaku,TE
maatram,TE
avg,EN
bomme,TE
..,EN
konni,TE
comedy,EN
scenes,EN
thappa,TE
matter,EN
ille,TE
:P,UNI
,
"""",UNI
Police,EN
story,EN
chusi,TE
untaru,TE
meru,TE
eppudu,TE
daka,TE
.,EN
Kani,TE
mana,TE
Adhire,TE
Abhi,UNI
relax,EN
story,EN
ento,TE
chudandi,TE
...!!,UNI
Full,EN
video,EN
:,UNI
...,EN
http://,UNI
fb.me/4wfUkQqod,UNI
"""""""",UNI
,
@DizisSANDY,UNI
emo,TE
naku,TE
telidu,TE
just,EN
rt,EN
because,EN
it,EN
was,EN
to,EN
hanu,EN
bro,EN
:P,UNI
,
Cinematography,EN
:,UNI
-,UNI
excellent,EN
,
"""",UNI
@Antharvani,UNI
Petrochemical,EN
plant,EN
ekkado,TE
telidu,TE
kaani,TE
..,EN
confirmed,EN
ani,TE
vinnanu,TE
.,EN
Railway,EN
Zone,EN
Special,EN
Status,EN
.,EN
Metro,EN
anni,TE
sollu,TE
kaburle,TE
"""""""",UNI
,
@BrawnyGirll,UNI
@tharungstars,UNI
@sreeramtej,UNI
yes,EN
mani,TE
rocks,EN
...,EN
eppudu,TE
mahesh,UNI
ni,UNI
dissapoint,EN
cheyyaledhu,TE
mani,TE
