token,label
andhariki,ADP
chance,N
vasthadhi,V
don't,V
worry,V
:P,INTJ
,
Kaani,N
please,V
no,DET
boothuls,N
.....,PUNC
Mohamatam,N
lekunda,N
ban,V
chesetham,X
.....,PUNC
So,ADV
come,V
on,ADP
....,PUNC
Ikkada,N
adagandi,X
...,PUNC
any,DET
questions,N
you,PRON
want,V
to,ADP
ask,V
.....,PUNC
"""",PUNC
,
Cinema,N
super,ADV
...,PUNC
but,CONJ
sesh's,N
acting,V
wasted,V
",,,,",PUNC
role,N
inkonchem,ADP
penchina,N
teesesina,N
bagundedi,N
,
@ethnofest9,X
ah,PART
oka,PART
sec,N
...,PUNC
chiru,N
slow,ADJ
ga,X
chestaruu,X
..,PUNC
Pk,N
fast,ADJ
ga,N
cut,V
chesaduu,N
kekaaa,N
asalu,N
panja,N
movie,N
lo,ADP
one,N
of,ADP
d,DET
best,ADJ
scen,X
,
@prince_abhimani,X
@deepu4mb,X
crct,N
fig,N
naaku,X
kuda,X
telidu,X
bro,N
.,PUNC
senior,ADJ
fans,N
ke,V
teliyali,N
.,PUNC
sbdb,X
lo,X
prasad,N
babu,N
figs,N
avi,N
,
@Gsrinivasulu11,X
telidu,N
bro,N
.,PUNC
kanapadite,X
tag,N
chesta,N
ninu,N
,
Kiraaak,N
news,N
we,PRON
are,V
waiting,V
#SardaarGabbarSingh,N
#MegaStar,N
@PawanKalyan,X
abaah,N
eppudu,N
vastado,N
April,N
pic.twitter.com/v3OMDlawxB,X
,
"""",PUNC
@sachintodravid,X
Haha,PART
Extra,ADJ
Vesukone,N
Uddesam,N
Unte,N
Ee,N
Movie,N
Varaku,N
Aagala,N
"""""",PUNC
Maku,N
Fake,ADJ
Collections,N
ante,N
ento,N
Telidu,N
"""""""",PUNC
,
@MSKumar143,X
largely,ADV
rejected,V
by,ADP
majority,N
audience,N
..,PUNC
naaku,X
maatram,X
avg,N
bomme,X
..,PUNC
konni,X
comedy,N
scenes,X
thappa,X
matter,N
ille,X
:P,INTJ
,
"""",PUNC
Police,N
story,N
chusi,X
untaru,X
meru,X
eppudu,X
daka,N
.,PUNC
Kani,X
mana,X
Adhire,X
Abhi,N
relax,V
story,N
ento,X
chudandi,X
...!!,PUNC
Full,ADJ
video,N
:,PUNC
...,PUNC
http://,X
fb.me/4wfUkQqod,X
"""""""",PUNC
,
@DizisSANDY,X
emo,X
naku,X
telidu,X
just,ADV
rt,V
because,ADP
it,PRON
was,V
to,ADP
hanu,N
bro,N
:P,INTJ
,
Cinematography,N
:,PUNC
-,PUNC
excellent,ADJ
,
"""",PUNC
@Antharvani,X
Petrochemical,N
plant,N
ekkado,X
telidu,X
kaani,X
..,PUNC
confirmed,V
ani,DET
vinnanu,X
.,PUNC
Railway,N
Zone,N
Special,N
Status,N
.,PUNC
Metro,N
anni,X
sollu,X
kaburle,X
"""""""",PUNC
,
@BrawnyGirll,X
@tharungstars,X
@sreeramtej,X
yes,PART
mani,N
rocks,V
...,PUNC
eppudu,X
mahesh,N
ni,N
dissapoint,V
cheyyaledhu,N
mani,N
..,PUNC
nammakastudu,X
mani,N
sharma,N
,
@tharungstars,X
@nandi_harika,X
super,ADV
...,PUNC
inko,X
pilupu,X
naaku,X
,
Chusepudu,N
freshness,N
feel,V
avvaliga,N
.,PUNC
,
eppudu,N
vastaav,N
dist,N
office,N
ki,N
?,PUNC
@ShekarNews,X
@Maheshaddict,X
@GangadherMuta,X
,
@MadhuriS11,X
Burra,N
takkuva,N
dialogue,N
adhi,N
....,PUNC
Movie,N
chusaaraa,X
...,PUNC
asalu,PART
enti,X
aa,X
stupid,ADJ
concept,N
???,PUNC
,
Gente,N
mantenme,X
sugerencias,N
para,N
seguirlos,X
en,ADV
instagramz,ADJ
!!!,PUNC
,
"""",PUNC
Iam,N
going,V
to,ADP
give,V
it,PRON
up,PART
after,ADP
3,PUNC
",",PUNC
4,PUNC
films,N
",",PUNC
der,DET
r,V
other,ADJ
people,N
who,PRON
can,V
entertain,V
better,ADJ
:,PUNC
PSPK,N
..,PUNC
asalu,N
antis,N
anevallu,N
untara,ADP
#PSPKInterview,X
_/,PUNC
"\_""",PUNC
,
@ramsayz,X
annayya,N
ninnati,N
nundi,ADP
nonstop,ADJ
GA,DET
tweeting,V
oka,PUNC
reply,V
padey,N
naaku,PRON
screenshot,N
theesukoni,V
wallpaper,N
pettukunta,V
,
eesari,N
ni,N
page,N
lepestham,X
..,PUNC
pakka,X
complaint,N
kasko,N
..,PUNC
we,PRON
allu,V
sirish,ADJ
fans,N
supporting,V
red,ADJ
hero,N
,
"""",PUNC
anna,N
ntr,N
kodithe,V
komaloki,N
potaro,V
ledho,V
teliyadhu,V
gaani,DET
,
@supersampangi,X
hit,V
Ki,ADP
blockbuster,N
Ki,ADP
Theda,N
telidu,V
idiots,N
Ki,ADP
..,PUNC
Hero,N
image,N
debbateestunnaru,V
,
Remake,V
of,ADP
om,PART
shanti,PART
om,PART
,
Troll,N
Tollywood,N
inthakki,N
temper,N
theatres,N
nunchi,N
teeyakamundeyy,N
ww,X
closing,V
collections,N
anni,N
ichharu,V
?,PUNC
y,ADV
and,CONJ
sunil,N
joshi,N
crossed,V
50cr,DET
anni,N
declare,V
chessadu,N
but,CONJ
ganesh,N
cheyyaleddu,N
y,ADV
?,PUNC
,
@ynakg,X
poltics,N
prbavam,N
janala,ADP
mida,X
enta,X
undo,V
telidu,N
gani,N
punch,N
dialogla,N
prbavam,N
matram,N
getting,V
undi,N
,
As,ADP
Expected,V
",",PUNC
chinchesindi,N
teaser,N
matram,N
;),PUNC
,
"""",PUNC
Waiting,V
for,ADP
that,DET
day,N
aa,X
roju,X
vasthe,X
nv,X
chachipotav,X
ra,X
fans,N
titlu,N
barinchaleka,N
,
next,ADJ
jagann,N
...........,PUNC
,
Andharu,N
Devi,N
Sri,N
Pasad,N
Songs,N
bagunnay,N
antaru,N
kani,N
Thaman,N
Songs,N
eh,PART
vintaru,N
..,PUNC
:P,INTJ
,
"""",PUNC
Mahesh,N
fans,N
ni,ADP
tag,N
cheyakandi,X
asalu,X
tweets,N
lo,ADP
""",""",PUNC
lgk,X
brains,N
entha,ADP
chepina,X
vallaki,X
em,PRON
ardamkadhu,X
"""",PUNC
,
@uRstruLymaNohaR,X
@trishtrashers,X
na,ADP
chinnapatnunchi,N
chepthune,N
unnav,N
tanaki,N
..,PUNC
ne,X
Bangaram,N
nemaata,N
asalu,N
vinatle,N
ga,N
..,PUNC
where,N
is,V
d,DET
understanding,N
:p,INTJ
,
Watsapp,N
group,N
lo,ADP
north,ADJ
girls,N
boys,N
flirting,V
peaks,N
asalu,N
,
first,ADJ
watch,V
cinema,N
..,PUNC
not,ADV
masala,N
thn,ADP
bark,N
..,PUNC
,
@ActivePJ,X
ultimate,ADJ
game,N
asalu,N
,
upendra,N
la,X
undha,X
?,PUNC
leka,X
uppi2,X
la,X
undha,X
?,PUNC
o.O,INTJ
,
@me_sreehitha,X
@meghanavirat,X
moham,N
chusi,N
okala,V
chudakunda,N
okala,N
cream,N
rayanamma,N
.,PUNC
Eppudu,X
okkate,N
cream,N
,
@alwayscharan4u,X
emo,ADJ
mov,N
nachindhi,N
naaku,N
hit,V
anukuna,N
taruvaatha,N
TL,N
chusina,N
taruvaath,N
ardhamaindhi,N
disaster,N
bomma,N
ani,N
enduku,N
nachindho,N
telile,N
,
Gabbar,N
Singh,N
elevations,N
kanna,X
eeyana,X
iche,ADJ
elevations,N
antene,V
pichi,N
naaku,N
.,PUNC
@An_Odd_ee,X
Sir,PART
,
@RamCharanFann,X
@Itsme_Thej,X
aww,PART
nuvvu,N
naaku,N
gud,ADJ
morning,N
cheppava,ADP
venu,N
..,PUNC
yayyy,PART
u,PRON
made,V
my,DET
day,N
very,ADV
gud,ADJ
morning,N
venu,N
pic.twitter.com/jA4SJzxyvX,X
,
@pratyusha,X
cc,N
@RAGHU6611,X
undaga,PART
Cineplanet,N
lo,ADP
tickets,N
dorikithe,V
question,N
Enti,N
Asalu,N
..,PUNC
MMPF,N
hungama,N
peaks,N
lo,ADP
untundi,V
Cineplanet,N
lo,ADP
,
@Ak_,X
Asalu,PART
thank,V
you,PRON
!!,PUNC
,
@swamynadhkone,X
untay,ADJ
bro,N
..,PUNC
naku,X
ye,DET
route,N
lo,ADP
untayo,N
telidu,N
kani,N
ac,N
buses,N
untayi,X
,
super,ADJ
work,V
admin,N
,
@sushanthreddy,X
ippatidaaka,X
telidu,X
meeru,X
vijay,N
fan,N
ani,X
@sankar485,X
,
Kanya,N
kumari,N
",",PUNC
bobbili,N
raja,N
,
E,N
marketing,N
subject,N
introduce,V
chesadu,DET
second,N
semester,N
ki,X
..,PUNC
Kathi,N
asalu,X
subject,N
..,PUNC
,
Naaku,N
pass,V
lu,N
kavali,N
...,PUNC
@sharrath_marar,X
Plz,V
give,V
passes,V
to,ADP
fans,N
...,PUNC
#SardaarGabbarSingh,X
,
@ursyathi,X
@FlyTruJet,X
vijayawada,N
ki,N
eve,N
flights,N
eppudu,X
start,V
chestaru,X
adn,CONJ
from,ADP
vija,N
to,ADP
hyd,N
mor,ADJ
time,N
lo,ADP
eppudu,PRON
start,V
chestharu,V
any,DET
idea,N
??,PUNC
,
Malli,N
black,ADJ
and,CONJ
white,ADJ
mve,N
okati,N
teste,N
baguntadhi,N
kadha,N
bhaya,X
,
"""",PUNC
@RGVzoomin,X
Asalu,N
9,PUNC
Films,N
chesna,V
",",PUNC
1,PUNC
Rupee,N
aina,N
#RamCharanvalla,N
vachinda,N
",,",PUNC
motham,X
Chiranjeevi,N
vallane,N
antunaru,N
..,PUNC
"""",PUNC
,
@pavanstweet,X
nee,PRON
point,N
ide,PRON
ani,X
naaku,PRON
telusu,V
lee,DET
anyways,ADV
next,ADJ
manodi,PRON
line,N
up,ADP
ade,PRON
gaa,X
chuddam,V
emi,N
avuddo,V
hope,V
fr,ADP
the,DET
best,ADJ
anukundm,N
ipatiki,PRON
,
Mem,N
maram,N
bey,N
....,PUNC
Minimum,ADJ
maheshbabu,N
fans,N
....,PUNC
mahesh,N
ante,N
oka,PART
brand,N
...,PUNC
v,X
r,V
addicted,ADJ
2,PUNC
dat,PRON
.....,PUNC
v,X
nvr,ADV
copy,V
v,ADP
nvr,ADV
remake,V
...,PUNC
v,X
hav,V
our,DET
own,ADJ
style,N
dat,ADP
no1,PRON
can,V
exceed,V
,
@yaminivalli_01,X
naaku,X
prawns,N
thinadam,N
istam,V
ledu,N
..,PUNC
but,CONJ
I,PRON
like,V
that,PRON
smell,V
,
Asalu,N
music,N
director,N
anevadu,PRON
eemem,PRON
chesthu,V
untaadu,V
?,PUNC
Let's,N
catch,V
@Iamkalyankoduri,X
garu,N
defining,V
what,PRON
he,PRON
does,V
as,ADP
a,DET
composer,N
.,PUNC
#RadioMirchi,X
,
Already,ADV
watched,V
malayalam,N
5,PUNC
or,CONJ
6,PUNC
times,N
..,PUNC
Yet,ADV
to,ADP
watch,V
telugu,N
and,CONJ
kannada,N
version,N
:),PUNC
,
@srinivasbgs,X
last,ADJ
min,N
Lo,N
marcharemo,N
telidu,N
Mari,N
,
Thuppaki,N
is,ADP
tribute,N
to,ADP
Indian,N
Army,N
and,CONJ
Katthi,N
is,ADP
for,ADP
Indian,N
Farmers,N
.,PUNC
,
Jai,N
Akhilism,N
.....,PUNC
ma,DET
over,ADP
acting,V
star,N
akhil,X
ni,X
emanna,X
ante,N
oorukunedi,N
ledu,N
,
